0.090760,
0.119177,
0.000000,0.000426,0.000690,0.001054,0.001292,0.001603,0.005255,0.006482,0.007222,0.007937,0.008574,0.009317,0.009563,0.010976,0.011089,0.012495,0.013277,0.013788,0.014680,0.016260,0.016563,0.017506,0.018809,0.019608,0.019814,0.021592,0.022305,0.023102,0.024011,0.025070,0.026026,0.026856,0.027811,0.028907,0.030624,0.030733,0.032282,0.032922,0.033787,0.035662,0.036738,0.037721,0.038781,0.039810,0.041667,0.042904,0.044266,0.045839,0.046794,0.048706,0.050245,0.051260,0.053555,0.055233,0.057018,0.058592,0.060606,0.062165,0.063830,0.066273,0.068668,0.069838,0.072961,0.074380,0.077869,0.079702,0.083159,0.085568,0.089109,0.092409,0.094923,0.099228,0.103376,0.106894,0.109731,0.114143,0.118963,0.123302,0.128140,0.133578,0.138734,0.145963,0.152132,0.158679,0.165474,0.173709,0.181548,0.192264,0.200913,0.211196,0.224329,0.238468,0.252087,0.270208,0.288194,0.311337,0.344332,0.378223,0.424051,0.526915,1.522350,
