0.095615,
0.125800,
0.000000,0.000426,0.000690,0.001054,0.001292,0.003280,0.005278,0.006623,0.007387,0.008065,0.009009,0.009355,0.010217,0.010989,0.011089,0.012702,0.013434,0.014320,0.015370,0.016548,0.016865,0.018221,0.019608,0.019608,0.020888,0.022305,0.023039,0.023861,0.024531,0.025803,0.026856,0.027811,0.028907,0.030624,0.030787,0.032282,0.033138,0.033787,0.035813,0.037118,0.038128,0.039261,0.040033,0.041667,0.043257,0.045016,0.045884,0.047486,0.049292,0.051051,0.052902,0.054097,0.056338,0.057858,0.059624,0.061077,0.063307,0.065891,0.067758,0.069644,0.071675,0.074074,0.077090,0.079026,0.081855,0.084717,0.087903,0.090909,0.094452,0.097670,0.101036,0.105549,0.108911,0.112510,0.117232,0.120752,0.126126,0.131122,0.136364,0.140790,0.146288,0.154201,0.161255,0.167483,0.174935,0.182678,0.193100,0.201209,0.211191,0.223453,0.236829,0.249482,0.267057,0.282297,0.302243,0.328192,0.358974,0.394799,0.443320,0.562500,1.576647,
